date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:17	13405/13405	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:44:06%20GMT	https://demo.dashboardpack.com/finance-html/index.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/index.html	(from )
00:09:18	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jun%202023%2017:09:18%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
00:09:19	3243/3243	---M--	200	added ('OK')	image/png	etag:%22632db81d-cab%22	https://demo.dashboardpack.com/finance-html/img/logo.png	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/logo.png	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:19	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22632db812-260cb%22	https://demo.dashboardpack.com/finance-html/css/bootstrap1.min.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:19	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%22632db862-446c%22	https://demo.dashboardpack.com/finance-html/vendors/themefy_icon/themify-icons.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:20	19789/19789	---MCZ	200	added ('OK')	text/css	etag:W/%22632db854-4d4d%22	https://demo.dashboardpack.com/finance-html/vendors/swiper_slider/css/swiper.min.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/swiper_slider/css/swiper.min.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:20	15197/15197	---MCZ	200	added ('OK')	text/css	etag:W/%22632db853-3b5d%22	https://demo.dashboardpack.com/finance-html/vendors/select2/css/select2.min.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/select2/css/select2.min.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:21	5211/5211	---MCZ	200	added ('OK')	text/css	etag:W/%22632db850-1b6b%22	https://demo.dashboardpack.com/finance-html/vendors/niceselect/css/nice-select.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:21	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22632db851-1342%22	https://demo.dashboardpack.com/finance-html/vendors/owl_carousel/css/owl.carousel.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:21	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22632db843-d341%22	https://demo.dashboardpack.com/finance-html/vendors/gijgo/gijgo.min.css	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/finance-html/index.html)
